race_name,circuit_name,year,BOT,HAM
Russian Grand Prix,Sochi Autodrom,2019,106090.96226415096,106018.71698113208
Russian Grand Prix,Sochi Autodrom,2020,106421.96226415096,106850.81132075471
Russian Grand Prix,Sochi Autodrom,2021,103934.60377358492,102660.39622641508
Sakhir Grand Prix,Bahrain International Circuit,2020,63109.22988505747,
Saudi Arabian Grand Prix,Jeddah Corniche Circuit,2021,152052.98,151502.36
Singapore Grand Prix,Marina Bay Street Circuit,2017,127799.03448275862,127647.31034482758
Singapore Grand Prix,Marina Bay Street Circuit,2018,110221.98360655738,109370.67213114754
Singapore Grand Prix,Marina Bay Street Circuit,2019,116717.80327868852,116693.03278688523
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2017,,87219.65151515152
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,87129.77272727272,86817.75757575757
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2019,87189.65151515152,87127.92424242424
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2020,84091.37878787878,83413.31818181818
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2021,85065.0,84661.81818181818
Styrian Grand Prix,Red Bull Ring,2020,70202.84507042254,70009.61971830986
Styrian Grand Prix,Red Bull Ring,2021,70222.98591549296,70065.74647887323
São Paulo Grand Prix,Autódromo José Carlos Pace,2021,78259.5352112676,78068.32394366198
Turkish Grand Prix,Istanbul Park,2020,108623.28070175438,105850.22413793104
Turkish Grand Prix,Istanbul Park,2021,94208.6724137931,94929.56896551725
Tuscan Grand Prix,Autodromo Internazionale del Mugello,2020,142032.88135593222,141950.16949152542
United States Grand Prix,Circuit of the Americas,2017,101177.82142857143,100553.41071428572
United States Grand Prix,Circuit of the Americas,2018,101489.05357142857,101089.01785714286
United States Grand Prix,Circuit of the Americas,2019,100636.66071428572,100710.73214285714
United States Grand Prix,Circuit of the Americas,2021,102797.85714285714,101390.80357142857
