races_round,races_year,BOT,HAM,delta
1,2017,88823.19298245614,88800.82456140351,22.368421052626218
1,2018,93234.86206896552,92729.63793103448,505.2241379310435
1,2019,88402.1551724138,88762.25862068965,-360.10344827585504
1,2020,76841.39436619719,76851.0985915493,-9.704225352106732
1,2021,99308.57142857143,98641.01785714286,667.5535714285797
2,2017,105445.82142857143,104574.25,871.5714285714348
2,2018,96888.40350877192,96990.38596491228,-101.98245614035113
2,2019,99373.24561403508,99320.9649122807,52.28070175438188
2,2020,70202.84507042254,70009.61971830986,193.22535211268405
2,2021,101964.83333333331,117088.85714285714,-15124.023809523831
3,2017,99188.9649122807,98947.9649122807,241.0
3,2018,102594.17857142857,102738.66071428572,-144.4821428571595
3,2019,98801.82142857143,98684.82142857143,117.0
3,2020,82598.92857142857,82463.9,135.028571428571
3,2021,86438.65151515152,85930.62121212122,508.0303030303039
4,2017,101706.59615384616,102405.05769230767,-698.4615384615172
4,2018,122967.58333333331,122044.92156862744,922.6617647058738
4,2019,108096.90196078432,108126.7843137255,-29.88235294117476
4,2020,102374.03846153848,101563.1346153846,810.9038461538876
4,2021,85065.0,84661.81818181818,403.1818181818235
5,2017,89522.13157894737,87219.65151515152,2302.480063795854
5,2018,87129.77272727272,86817.75757575757,312.01515151515196
5,2019,87189.65151515152,87127.92424242424,61.72727272727934
5,2020,92331.23076923077,92179.21153846152,152.01923076924868
5,2021,76793.0,76987.83333333333,-194.83333333332848
6,2017,80639.19230769231,80771.03846153847,-131.84615384615608
6,2018,79405.5,79382.30769230769,23.19230769231217
6,2019,79635.88461538461,79595.34615384616,40.5384615384537
6,2020,84091.37878787878,83413.31818181818,678.0606060606078
6,2021,157405.3725490196,157530.9411764706,-125.56862745099352
7,2017,80070.52857142857,79787.91428571429,282.61428571428405
7,2018,78216.95588235294,78425.5294117647,-208.57352941176214
7,2019,77116.1,76386.91428571429,729.1857142857189
7,2020,114936.56818181818,114744.56818181818,192.0
7,2021,99252.60377358492,99031.58490566038,221.01886792454752
8,2017,145872.0980392157,145916.88235294115,-44.7843137254531
8,2018,103622.96226415096,102101.60377358492,1521.358490566039
8,2019,96023.6603773585,95682.98113207548,340.6792452830123
8,2020,121380.45283018867,121571.71698113208,-191.26415094340337
8,2021,70222.98591549296,70065.74647887323,157.2394366197259
9,2017,69134.12676056338,69238.77464788733,-104.64788732395391
9,2018,69786.0,69929.87096774194,-143.87096774193924
9,2019,69588.47887323944,69642.6338028169,-54.15492957746028
9,2020,142032.88135593222,141950.16949152542,82.71186440679594
9,2021,71162.19718309859,71563.30985915494,-401.1126760563493
10,2017,96107.70588235294,95831.96078431372,275.7450980392168
10,2018,101128.21153846152,101000.92307692308,127.28846153843915
10,2019,94103.46153846152,93624.07692307692,479.38461538459524
10,2020,106421.96226415096,106850.81132075471,-428.8490566037508
10,2021,136815.5576923077,136601.61538461538,213.94230769231217
11,2017,85702.5,85708.54285714286,-6.042857142863795
11,2018,82901.19402985074,82833.50746268657,67.68656716417172
