stop,round,year,BOT,HAM,VER,VET,delta
2,6,2019,24776.0,,,,24776.0
2,6,2020,22143.0,21853.0,,,290.0
2,6,2021,,15432.0,,,-15432.0
2,7,2017,,,,23345.0,23345.0
2,7,2019,23456.0,,,,23456.0
2,7,2021,,,30123.0,,30123.0
2,8,2017,,15234.0,,15174.0,-60.0
2,8,2018,,,,31029.0,31029.0
2,8,2020,1522264.0,1516864.0,,,5400.0
2,8,2021,,21640.0,,,-21640.0
2,9,2018,,20980.0,,,-20980.0
2,9,2020,1436402.0,1436696.0,,,-294.0
2,9,2021,,21421.0,21236.0,,-185.0
2,10,2017,,,,35204.0,35204.0
2,10,2018,,,,28174.0,28174.0
2,10,2019,28177.0,,,,28177.0
2,10,2021,,40266.0,,,-40266.0
2,11,2019,20498.0,22947.0,,,-2449.0
2,11,2020,,23180.0,,,-23180.0
2,11,2021,,21731.0,1456349.0,,1434618.0
2,12,2017,,22357.0,,25650.0,3293.0
2,12,2019,21744.0,21390.0,,,354.0
2,13,2018,,22375.0,,22253.0,-122.0
2,13,2020,30129.0,30925.0,,,-796.0
2,13,2021,,18868.0,18578.0,,-290.0
2,14,2017,,24368.0,,,-24368.0
2,14,2018,,,,24301.0,24301.0
2,14,2019,,23731.0,,,-23731.0
2,14,2020,22853.0,,,,22853.0
2,15,2020,24936.0,24061.0,,,875.0
2,15,2021,,30045.0,31017.0,,972.0
2,16,2020,52874.0,,,,52874.0
2,17,2017,,,,23620.0,23620.0
2,17,2019,23157.0,23591.0,,,-434.0
2,17,2021,,23676.0,24052.0,,376.0
2,18,2017,,23315.0,,22379.0,-936.0
2,18,2018,,23915.0,,,-23915.0
2,19,2017,,19237.0,,17817.0,-1420.0
2,19,2018,,22399.0,,21777.0,-622.0
2,19,2019,23819.0,,,,23819.0
2,19,2021,,18660.0,17807.0,,-853.0
2,20,2018,,,,22683.0,22683.0
2,20,2019,23210.0,23088.0,,,122.0
2,20,2021,,25381.0,25175.0,,-206.0
2,21,2021,,995856.0,1087591.0,,91735.0
2,22,2021,,,21871.0,,21871.0
3,2,2017,,17737.0,,17362.0,-375.0
3,2,2021,,1494731.0,,,-1494731.0
3,3,2020,21572.0,22426.0,,,-854.0
3,3,2021,,26907.0,26743.0,,-164.0
3,6,2020,22607.0,,,,22607.0
3,6,2021,,2000923.0,,,-2000923.0
3,8,2017,,1310768.0,,1310808.0,40.0
3,8,2020,,31643.0,,,-31643.0
3,9,2020,23111.0,22445.0,,,666.0
3,11,2019,21142.0,69022.0,,,-47880.0
3,11,2021,,21516.0,35245.0,,13729.0
3,13,2021,,19202.0,,,-19202.0
3,14,2017,,24337.0,,,-24337.0
3,15,2020,24734.0,24345.0,,,389.0
3,19,2017,,18725.0,,17842.0,-883.0
3,19,2021,,22690.0,22722.0,,32.0
3,20,2019,,23060.0,,,-23060.0
3,20,2021,,,25465.0,,25465.0
3,21,2021,,1086674.0,,,-1086674.0
3,22,2021,,,21453.0,,21453.0
4,2,2017,,22668.0,,17370.0,-5298.0
4,2,2021,,65870.0,,,-65870.0
4,3,2021,,,26319.0,,26319.0
4,8,2017,,27025.0,,29317.0,2292.0
4,9,2020,23199.0,22800.0,,,399.0
4,11,2019,21009.0,27069.0,,,-6060.0
4,11,2021,,21208.0,21047.0,,-161.0
4,14,2017,,28466.0,,,-28466.0
4,15,2020,24675.0,,,,24675.0
4,19,2017,,23121.0,,22736.0,-385.0
4,19,2021,,22664.0,22766.0,,102.0
5,2,2017,,,,22443.0,22443.0
5,9,2020,1302010.0,1300911.0,,,1099.0
5,11,2019,,20015.0,,,-20015.0
5,11,2021,,,20848.0,,20848.0
6,11,2019,,19610.0,,,-19610.0
