statusId,year,round,name,code
1,2021,20,Qatar Grand Prix,HAM
137,2021,20,Qatar Grand Prix,BOT
1,2021,3,Portuguese Grand Prix,HAM
1,2021,3,Portuguese Grand Prix,BOT
1,2021,4,Spanish Grand Prix,HAM
1,2021,4,Spanish Grand Prix,BOT
1,2021,5,Monaco Grand Prix,HAM
61,2021,5,Monaco Grand Prix,BOT
1,2021,6,Azerbaijan Grand Prix,HAM
1,2021,6,Azerbaijan Grand Prix,BOT
1,2021,8,Styrian Grand Prix,HAM
1,2021,8,Styrian Grand Prix,BOT
1,2021,7,French Grand Prix,HAM
1,2021,7,French Grand Prix,BOT
1,2021,9,Austrian Grand Prix,HAM
1,2021,9,Austrian Grand Prix,BOT
1,2021,10,British Grand Prix,HAM
1,2021,10,British Grand Prix,BOT
1,2021,11,Hungarian Grand Prix,HAM
4,2021,11,Hungarian Grand Prix,BOT
1,2021,12,Belgian Grand Prix,HAM
1,2021,12,Belgian Grand Prix,BOT
1,2021,13,Dutch Grand Prix,HAM
1,2021,13,Dutch Grand Prix,BOT
4,2021,14,Italian Grand Prix,HAM
1,2021,14,Italian Grand Prix,BOT
1,2021,15,Russian Grand Prix,HAM
1,2021,15,Russian Grand Prix,BOT
1,2021,16,Turkish Grand Prix,HAM
1,2021,16,Turkish Grand Prix,BOT
1,2021,17,United States Grand Prix,HAM
1,2021,17,United States Grand Prix,BOT
1,2021,18,Mexico City Grand Prix,HAM
12,2021,18,Mexico City Grand Prix,BOT
1,2021,19,São Paulo Grand Prix,HAM
1,2021,19,São Paulo Grand Prix,BOT
1,2021,21,Saudi Arabian Grand Prix,HAM
1,2021,21,Saudi Arabian Grand Prix,BOT
1,2021,22,Abu Dhabi Grand Prix,HAM
1,2021,22,Abu Dhabi Grand Prix,BOT
