duration,stop,year,round,name,code
28.722,1,2018,15,Singapore Grand Prix,VET
28.946,1,2018,15,Singapore Grand Prix,HAM
29.798,1,2018,16,Russian Grand Prix,VET
29.551,1,2018,16,Russian Grand Prix,HAM
22.614,1,2018,17,Japanese Grand Prix,HAM
22.748,1,2018,17,Japanese Grand Prix,VET
23.693,1,2018,18,United States Grand Prix,HAM
24.449,1,2018,18,United States Grand Prix,VET
23.915,2,2018,18,United States Grand Prix,HAM
22.269,1,2018,19,Mexican Grand Prix,HAM
22.658,1,2018,19,Mexican Grand Prix,VET
21.777,2,2018,19,Mexican Grand Prix,VET
22.399,2,2018,19,Mexican Grand Prix,HAM
22.641,1,2018,20,Brazilian Grand Prix,HAM
22.551,1,2018,20,Brazilian Grand Prix,VET
22.683,2,2018,20,Brazilian Grand Prix,VET
21.283,1,2018,21,Abu Dhabi Grand Prix,HAM
22.63,1,2018,21,Abu Dhabi Grand Prix,VET
21.515,1,2019,1,Australian Grand Prix,HAM
22.014,1,2019,1,Australian Grand Prix,BOT
24.865,1,2019,2,Bahrain Grand Prix,BOT
24.255,1,2019,2,Bahrain Grand Prix,HAM
24.324,2,2019,2,Bahrain Grand Prix,HAM
24.433,2,2019,2,Bahrain Grand Prix,BOT
22.196,1,2019,3,Chinese Grand Prix,BOT
22.644,1,2019,3,Chinese Grand Prix,HAM
23.597,2,2019,3,Chinese Grand Prix,HAM
24.083,2,2019,3,Chinese Grand Prix,BOT
20.006,1,2019,4,Azerbaijan Grand Prix,BOT
19.993,1,2019,4,Azerbaijan Grand Prix,HAM
22.034,1,2019,5,Spanish Grand Prix,BOT
22.265,1,2019,5,Spanish Grand Prix,HAM
22.018,2,2019,5,Spanish Grand Prix,BOT
22.511,2,2019,5,Spanish Grand Prix,HAM
24.266,1,2019,6,Monaco Grand Prix,HAM
25.03,1,2019,6,Monaco Grand Prix,BOT
24.776,2,2019,6,Monaco Grand Prix,BOT
23.662,1,2019,7,Canadian Grand Prix,HAM
23.994,1,2019,7,Canadian Grand Prix,BOT
23.456,2,2019,7,Canadian Grand Prix,BOT
30.412,1,2019,8,French Grand Prix,BOT
30.186,1,2019,8,French Grand Prix,HAM
22.552,1,2019,9,Austrian Grand Prix,BOT
30.067,1,2019,9,Austrian Grand Prix,HAM
28.493,1,2019,10,British Grand Prix,BOT
28.905,1,2019,10,British Grand Prix,HAM
28.177,2,2019,10,British Grand Prix,BOT
20.203,1,2019,11,German Grand Prix,HAM
22.243,1,2019,11,German Grand Prix,BOT
20.498,2,2019,11,German Grand Prix,BOT
22.947,2,2019,11,German Grand Prix,HAM
21.142,3,2019,11,German Grand Prix,BOT
21.009,4,2019,11,German Grand Prix,BOT
27.069,4,2019,11,German Grand Prix,HAM
20.015,5,2019,11,German Grand Prix,HAM
19.61,6,2019,11,German Grand Prix,HAM
33.328,1,2019,12,Hungarian Grand Prix,BOT
22.88,1,2019,12,Hungarian Grand Prix,HAM
21.744,2,2019,12,Hungarian Grand Prix,BOT
21.39,2,2019,12,Hungarian Grand Prix,HAM
23.497,1,2019,13,Belgian Grand Prix,HAM
22.579,1,2019,13,Belgian Grand Prix,BOT
23.912,1,2019,14,Italian Grand Prix,HAM
23.7,1,2019,14,Italian Grand Prix,BOT
23.731,2,2019,14,Italian Grand Prix,HAM
29.234,1,2019,15,Singapore Grand Prix,BOT
28.93,1,2019,15,Singapore Grand Prix,HAM
29.751,1,2019,16,Russian Grand Prix,HAM
29.436,1,2019,16,Russian Grand Prix,BOT
23.0,1,2019,17,Japanese Grand Prix,BOT
23.582,1,2019,17,Japanese Grand Prix,HAM
23.157,2,2019,17,Japanese Grand Prix,BOT
23.591,2,2019,17,Japanese Grand Prix,HAM
22.269,1,2019,18,Mexican Grand Prix,HAM
22.179,1,2019,18,Mexican Grand Prix,BOT
24.151,1,2019,19,United States Grand Prix,BOT
23.943,1,2019,19,United States Grand Prix,HAM
23.819,2,2019,19,United States Grand Prix,BOT
22.882,1,2019,20,Brazilian Grand Prix,HAM
23.148,1,2019,20,Brazilian Grand Prix,BOT
23.21,2,2019,20,Brazilian Grand Prix,BOT
23.088,2,2019,20,Brazilian Grand Prix,HAM
23.06,3,2019,20,Brazilian Grand Prix,HAM
22.178,1,2019,21,Abu Dhabi Grand Prix,HAM
21.145,1,2019,21,Abu Dhabi Grand Prix,BOT
21.937,1,2020,1,Austrian Grand Prix,BOT
21.85,1,2020,1,Austrian Grand Prix,HAM
16.407,2,2020,1,Austrian Grand Prix,BOT
16.365,2,2020,1,Austrian Grand Prix,HAM
21.729,1,2020,2,Styrian Grand Prix,HAM
21.376,1,2020,2,Styrian Grand Prix,BOT
21.906,1,2020,3,Hungarian Grand Prix,BOT
22.32,1,2020,3,Hungarian Grand Prix,HAM
21.644,2,2020,3,Hungarian Grand Prix,BOT
22.264,2,2020,3,Hungarian Grand Prix,HAM
21.572,3,2020,3,Hungarian Grand Prix,BOT
22.426,3,2020,3,Hungarian Grand Prix,HAM
28.805,1,2020,4,British Grand Prix,HAM
30.571,1,2020,4,British Grand Prix,BOT
33.602,2,2020,4,British Grand Prix,BOT
28.408,1,2020,5,70th Anniversary Grand Prix,BOT
28.406,1,2020,5,70th Anniversary Grand Prix,HAM
28.188,2,2020,5,70th Anniversary Grand Prix,BOT
29.402,2,2020,5,70th Anniversary Grand Prix,HAM
23.377,1,2020,6,Spanish Grand Prix,HAM
22.31,1,2020,6,Spanish Grand Prix,BOT
22.143,2,2020,6,Spanish Grand Prix,BOT
21.853,2,2020,6,Spanish Grand Prix,HAM
22.607,3,2020,6,Spanish Grand Prix,BOT
23.298,1,2020,7,Belgian Grand Prix,HAM
25.548,1,2020,7,Belgian Grand Prix,BOT
25:16.864,2,2020,8,Italian Grand Prix,HAM
24.41,1,2020,8,Italian Grand Prix,BOT
24.671,1,2020,8,Italian Grand Prix,HAM
23:56.402,2,2020,9,Tuscan Grand Prix,BOT
23:56.696,2,2020,9,Tuscan Grand Prix,HAM
17.56,1,2020,9,Tuscan Grand Prix,BOT
17.536,1,2020,9,Tuscan Grand Prix,HAM
23.111,3,2020,9,Tuscan Grand Prix,BOT
22.445,3,2020,9,Tuscan Grand Prix,HAM
23.199,4,2020,9,Tuscan Grand Prix,BOT
22.8,4,2020,9,Tuscan Grand Prix,HAM
21:40.911,5,2020,9,Tuscan Grand Prix,HAM
21:42.010,5,2020,9,Tuscan Grand Prix,BOT
25:22.264,2,2020,8,Italian Grand Prix,BOT
31.643,3,2020,8,Italian Grand Prix,HAM
41.352,1,2020,10,Russian Grand Prix,HAM
29.75,1,2020,10,Russian Grand Prix,BOT
22.625,1,2020,11,Eifel Grand Prix,BOT
23.983,1,2020,11,Eifel Grand Prix,HAM
23.18,2,2020,11,Eifel Grand Prix,HAM
27.162,1,2020,12,Portuguese Grand Prix,HAM
26.512,1,2020,12,Portuguese Grand Prix,BOT
29.6,1,2020,13,Emilia Romagna Grand Prix,BOT
30.382,1,2020,13,Emilia Romagna Grand Prix,HAM
30.129,2,2020,13,Emilia Romagna Grand Prix,BOT
30.925,2,2020,13,Emilia Romagna Grand Prix,HAM
23.398,1,2020,14,Turkish Grand Prix,BOT
23.86,1,2020,14,Turkish Grand Prix,HAM
22.853,2,2020,14,Turkish Grand Prix,BOT
19:23.979,1,2020,15,Bahrain Grand Prix,HAM
19:19.205,1,2020,15,Bahrain Grand Prix,BOT
24.936,2,2020,15,Bahrain Grand Prix,BOT
24.061,2,2020,15,Bahrain Grand Prix,HAM
24.734,3,2020,15,Bahrain Grand Prix,BOT
24.345,3,2020,15,Bahrain Grand Prix,HAM
24.675,4,2020,15,Bahrain Grand Prix,BOT
24.552,1,2020,16,Sakhir Grand Prix,BOT
52.874,2,2020,16,Sakhir Grand Prix,BOT
21.587,1,2020,17,Abu Dhabi Grand Prix,BOT
